Index	X	Left to Right	X	Right to Left	X	Sum
0	1899/12/30	0	1899/12/30	0	1899/12/30	0
1	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0
2	1899/12/30 0:00:20	0	1899/12/30 0:00:20	0	1899/12/30 0:00:20	0
3	1899/12/30 0:00:30	0	1899/12/30 0:00:30	0	1899/12/30 0:00:30	0
4	1899/12/30 0:00:40	0	1899/12/30 0:00:40	0	1899/12/30 0:00:40	0
5	1899/12/30 0:00:50	0	1899/12/30 0:00:50	0	1899/12/30 0:00:50	0
6	1899/12/30 0:01:00	0	1899/12/30 0:01:00	0	1899/12/30 0:01:00	0
7	1899/12/30 0:01:10	0	1899/12/30 0:01:10	0	1899/12/30 0:01:10	0
8	1899/12/30 0:01:20	0	1899/12/30 0:01:20	0	1899/12/30 0:01:20	0
9	1899/12/30 0:01:30	0	1899/12/30 0:01:30	0	1899/12/30 0:01:30	0
10	1899/12/30 0:01:40	1	1899/12/30 0:01:40	0	1899/12/30 0:01:40	1
11	1899/12/30 0:01:50	0	1899/12/30 0:01:50	1	1899/12/30 0:01:50	1
12	1899/12/30 0:02:00	4	1899/12/30 0:02:00	1	1899/12/30 0:02:00	5
13	1899/12/30 0:02:10	1	1899/12/30 0:02:10	3	1899/12/30 0:02:10	4
14	1899/12/30 0:02:20	1	1899/12/30 0:02:20	1	1899/12/30 0:02:20	2
15	1899/12/30 0:02:30	3	1899/12/30 0:02:30	2	1899/12/30 0:02:30	5
16	1899/12/30 0:02:40	3	1899/12/30 0:02:40	3	1899/12/30 0:02:40	6
17	1899/12/30 0:02:50	1	1899/12/30 0:02:50	2	1899/12/30 0:02:50	3
18	1899/12/30 0:03:00	1	1899/12/30 0:03:00	2	1899/12/30 0:03:00	3
19	1899/12/30 0:03:10	3	1899/12/30 0:03:10	2	1899/12/30 0:03:10	5
20	1899/12/30 0:03:20	0	1899/12/30 0:03:20	1	1899/12/30 0:03:20	1
21	1899/12/30 0:03:30	3	1899/12/30 0:03:30	1	1899/12/30 0:03:30	4
22	1899/12/30 0:03:40	1	1899/12/30 0:03:40	2	1899/12/30 0:03:40	3
23	1899/12/30 0:03:50	2	1899/12/30 0:03:50	1	1899/12/30 0:03:50	3
24	1899/12/30 0:04:00	0	1899/12/30 0:04:00	2	1899/12/30 0:04:00	2
25	1899/12/30 0:04:10	0	1899/12/30 0:04:10	0	1899/12/30 0:04:10	0
