Index	X	Left to Right	X	Right to Left	X	Sum
0	1899/12/30	0	1899/12/30	0	1899/12/30	0
1	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0
2	1899/12/30 0:00:20	0	1899/12/30 0:00:20	0	1899/12/30 0:00:20	0
3	1899/12/30 0:00:30	1	1899/12/30 0:00:30	0	1899/12/30 0:00:30	1
4	1899/12/30 0:00:40	1	1899/12/30 0:00:40	0	1899/12/30 0:00:40	1
5	1899/12/30 0:00:50	0	1899/12/30 0:00:50	0	1899/12/30 0:00:50	0
6	1899/12/30 0:01:00	1	1899/12/30 0:01:00	0	1899/12/30 0:01:00	1
7	1899/12/30 0:01:10	3	1899/12/30 0:01:10	6	1899/12/30 0:01:10	9
8	1899/12/30 0:01:20	2	1899/12/30 0:01:20	2	1899/12/30 0:01:20	4
9	1899/12/30 0:01:30	5	1899/12/30 0:01:30	5	1899/12/30 0:01:30	10
10	1899/12/30 0:01:40	1	1899/12/30 0:01:40	13	1899/12/30 0:01:40	14
11	1899/12/30 0:01:50	1	1899/12/30 0:01:50	6	1899/12/30 0:01:50	7
12	1899/12/30 0:02:00	2	1899/12/30 0:02:00	9	1899/12/30 0:02:00	11
13	1899/12/30 0:02:10	2	1899/12/30 0:02:10	5	1899/12/30 0:02:10	7
14	1899/12/30 0:02:20	3	1899/12/30 0:02:20	11	1899/12/30 0:02:20	14
15	1899/12/30 0:02:30	2	1899/12/30 0:02:30	7	1899/12/30 0:02:30	9
16	1899/12/30 0:02:40	4	1899/12/30 0:02:40	3	1899/12/30 0:02:40	7
17	1899/12/30 0:02:50	3	1899/12/30 0:02:50	2	1899/12/30 0:02:50	5
18	1899/12/30 0:03:00	3	1899/12/30 0:03:00	10	1899/12/30 0:03:00	13
19	1899/12/30 0:03:10	0	1899/12/30 0:03:10	4	1899/12/30 0:03:10	4
20	1899/12/30 0:03:20	4	1899/12/30 0:03:20	10	1899/12/30 0:03:20	14
21	1899/12/30 0:03:30	4	1899/12/30 0:03:30	6	1899/12/30 0:03:30	10
22	1899/12/30 0:03:40	1	1899/12/30 0:03:40	6	1899/12/30 0:03:40	7
23	1899/12/30 0:03:50	1	1899/12/30 0:03:50	6	1899/12/30 0:03:50	7
24	1899/12/30 0:04:00	2	1899/12/30 0:04:00	5	1899/12/30 0:04:00	7
25	1899/12/30 0:04:10	3	1899/12/30 0:04:10	8	1899/12/30 0:04:10	11
