Index	X	Left to Right	X	Right to Left	X	Sum
0	1899/12/30	0	1899/12/30	0	1899/12/30	0
1	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0
2	1899/12/30 0:00:20	0	1899/12/30 0:00:20	0	1899/12/30 0:00:20	0
3	1899/12/30 0:00:30	0	1899/12/30 0:00:30	0	1899/12/30 0:00:30	0
4	1899/12/30 0:00:40	5	1899/12/30 0:00:40	0	1899/12/30 0:00:40	5
5	1899/12/30 0:00:50	8	1899/12/30 0:00:50	0	1899/12/30 0:00:50	8
6	1899/12/30 0:01:00	4	1899/12/30 0:01:00	0	1899/12/30 0:01:00	4
7	1899/12/30 0:01:10	4	1899/12/30 0:01:10	0	1899/12/30 0:01:10	4
8	1899/12/30 0:01:20	4	1899/12/30 0:01:20	0	1899/12/30 0:01:20	4
9	1899/12/30 0:01:30	3	1899/12/30 0:01:30	0	1899/12/30 0:01:30	3
10	1899/12/30 0:01:40	2	1899/12/30 0:01:40	0	1899/12/30 0:01:40	2
11	1899/12/30 0:01:50	5	1899/12/30 0:01:50	0	1899/12/30 0:01:50	5
12	1899/12/30 0:02:00	6	1899/12/30 0:02:00	0	1899/12/30 0:02:00	6
13	1899/12/30 0:02:10	5	1899/12/30 0:02:10	1	1899/12/30 0:02:10	6
14	1899/12/30 0:02:20	3	1899/12/30 0:02:20	0	1899/12/30 0:02:20	3
15	1899/12/30 0:02:30	2	1899/12/30 0:02:30	0	1899/12/30 0:02:30	2
16	1899/12/30 0:02:40	6	1899/12/30 0:02:40	0	1899/12/30 0:02:40	6
17	1899/12/30 0:02:50	4	1899/12/30 0:02:50	1	1899/12/30 0:02:50	5
18	1899/12/30 0:03:00	7	1899/12/30 0:03:00	1	1899/12/30 0:03:00	8
19	1899/12/30 0:03:10	5	1899/12/30 0:03:10	0	1899/12/30 0:03:10	5
20	1899/12/30 0:03:20	6	1899/12/30 0:03:20	0	1899/12/30 0:03:20	6
21	1899/12/30 0:03:30	4	1899/12/30 0:03:30	0	1899/12/30 0:03:30	4
22	1899/12/30 0:03:40	5	1899/12/30 0:03:40	0	1899/12/30 0:03:40	5
23	1899/12/30 0:03:50	7	1899/12/30 0:03:50	0	1899/12/30 0:03:50	7
24	1899/12/30 0:04:00	3	1899/12/30 0:04:00	2	1899/12/30 0:04:00	5
25	1899/12/30 0:04:10	6	1899/12/30 0:04:10	0	1899/12/30 0:04:10	6
