Index	X	Left to Right	X	Right to Left	X	Sum
0	1899/12/30	0	1899/12/30	0	1899/12/30	0
1	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0
2	1899/12/30 0:00:20	0	1899/12/30 0:00:20	0	1899/12/30 0:00:20	0
3	1899/12/30 0:00:30	0	1899/12/30 0:00:30	0	1899/12/30 0:00:30	0
4	1899/12/30 0:00:40	2	1899/12/30 0:00:40	0	1899/12/30 0:00:40	2
5	1899/12/30 0:00:50	5	1899/12/30 0:00:50	0	1899/12/30 0:00:50	5
6	1899/12/30 0:01:00	8	1899/12/30 0:01:00	0	1899/12/30 0:01:00	8
7	1899/12/30 0:01:10	11	1899/12/30 0:01:10	1	1899/12/30 0:01:10	12
8	1899/12/30 0:01:20	14	1899/12/30 0:01:20	0	1899/12/30 0:01:20	14
9	1899/12/30 0:01:30	7	1899/12/30 0:01:30	1	1899/12/30 0:01:30	8
10	1899/12/30 0:01:40	9	1899/12/30 0:01:40	1	1899/12/30 0:01:40	10
11	1899/12/30 0:01:50	15	1899/12/30 0:01:50	0	1899/12/30 0:01:50	15
12	1899/12/30 0:02:00	11	1899/12/30 0:02:00	1	1899/12/30 0:02:00	12
13	1899/12/30 0:02:10	12	1899/12/30 0:02:10	4	1899/12/30 0:02:10	16
14	1899/12/30 0:02:20	7	1899/12/30 0:02:20	0	1899/12/30 0:02:20	7
15	1899/12/30 0:02:30	7	1899/12/30 0:02:30	1	1899/12/30 0:02:30	8
16	1899/12/30 0:02:40	12	1899/12/30 0:02:40	1	1899/12/30 0:02:40	13
17	1899/12/30 0:02:50	10	1899/12/30 0:02:50	0	1899/12/30 0:02:50	10
18	1899/12/30 0:03:00	10	1899/12/30 0:03:00	0	1899/12/30 0:03:00	10
19	1899/12/30 0:03:10	7	1899/12/30 0:03:10	1	1899/12/30 0:03:10	8
20	1899/12/30 0:03:20	9	1899/12/30 0:03:20	2	1899/12/30 0:03:20	11
21	1899/12/30 0:03:30	9	1899/12/30 0:03:30	1	1899/12/30 0:03:30	10
22	1899/12/30 0:03:40	5	1899/12/30 0:03:40	0	1899/12/30 0:03:40	5
23	1899/12/30 0:03:50	9	1899/12/30 0:03:50	2	1899/12/30 0:03:50	11
24	1899/12/30 0:04:00	10	1899/12/30 0:04:00	2	1899/12/30 0:04:00	12
25	1899/12/30 0:04:10	5	1899/12/30 0:04:10	1	1899/12/30 0:04:10	6
