Index	X	Left to Right	X	Right to Left	X	Sum
0	1899/12/30	0	1899/12/30	0	1899/12/30	0
1	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0
2	1899/12/30 0:00:20	0	1899/12/30 0:00:20	0	1899/12/30 0:00:20	0
3	1899/12/30 0:00:30	0	1899/12/30 0:00:30	0	1899/12/30 0:00:30	0
4	1899/12/30 0:00:40	1	1899/12/30 0:00:40	0	1899/12/30 0:00:40	1
5	1899/12/30 0:00:50	1	1899/12/30 0:00:50	0	1899/12/30 0:00:50	1
6	1899/12/30 0:01:00	1	1899/12/30 0:01:00	3	1899/12/30 0:01:00	4
7	1899/12/30 0:01:10	5	1899/12/30 0:01:10	3	1899/12/30 0:01:10	8
8	1899/12/30 0:01:20	8	1899/12/30 0:01:20	0	1899/12/30 0:01:20	8
9	1899/12/30 0:01:30	3	1899/12/30 0:01:30	1	1899/12/30 0:01:30	4
10	1899/12/30 0:01:40	7	1899/12/30 0:01:40	1	1899/12/30 0:01:40	8
11	1899/12/30 0:01:50	12	1899/12/30 0:01:50	3	1899/12/30 0:01:50	15
12	1899/12/30 0:02:00	4	1899/12/30 0:02:00	4	1899/12/30 0:02:00	8
13	1899/12/30 0:02:10	7	1899/12/30 0:02:10	2	1899/12/30 0:02:10	9
14	1899/12/30 0:02:20	4	1899/12/30 0:02:20	3	1899/12/30 0:02:20	7
15	1899/12/30 0:02:30	7	1899/12/30 0:02:30	4	1899/12/30 0:02:30	11
16	1899/12/30 0:02:40	7	1899/12/30 0:02:40	1	1899/12/30 0:02:40	8
17	1899/12/30 0:02:50	8	1899/12/30 0:02:50	3	1899/12/30 0:02:50	11
18	1899/12/30 0:03:00	3	1899/12/30 0:03:00	2	1899/12/30 0:03:00	5
19	1899/12/30 0:03:10	7	1899/12/30 0:03:10	1	1899/12/30 0:03:10	8
20	1899/12/30 0:03:20	5	1899/12/30 0:03:20	5	1899/12/30 0:03:20	10
21	1899/12/30 0:03:30	5	1899/12/30 0:03:30	2	1899/12/30 0:03:30	7
22	1899/12/30 0:03:40	4	1899/12/30 0:03:40	3	1899/12/30 0:03:40	7
23	1899/12/30 0:03:50	6	1899/12/30 0:03:50	2	1899/12/30 0:03:50	8
24	1899/12/30 0:04:00	7	1899/12/30 0:04:00	1	1899/12/30 0:04:00	8
25	1899/12/30 0:04:10	4	1899/12/30 0:04:10	2	1899/12/30 0:04:10	6
