Index	X	Left to Right	X	Right to Left	X	Sum
0	1899/12/30	0	1899/12/30	0	1899/12/30	0
1	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0
2	1899/12/30 0:00:20	0	1899/12/30 0:00:20	0	1899/12/30 0:00:20	0
3	1899/12/30 0:00:30	0	1899/12/30 0:00:30	0	1899/12/30 0:00:30	0
4	1899/12/30 0:00:40	0	1899/12/30 0:00:40	0	1899/12/30 0:00:40	0
5	1899/12/30 0:00:50	0	1899/12/30 0:00:50	0	1899/12/30 0:00:50	0
6	1899/12/30 0:01:00	0	1899/12/30 0:01:00	0	1899/12/30 0:01:00	0
7	1899/12/30 0:01:10	1	1899/12/30 0:01:10	0	1899/12/30 0:01:10	1
8	1899/12/30 0:01:20	0	1899/12/30 0:01:20	1	1899/12/30 0:01:20	1
9	1899/12/30 0:01:30	1	1899/12/30 0:01:30	0	1899/12/30 0:01:30	1
10	1899/12/30 0:01:40	3	1899/12/30 0:01:40	2	1899/12/30 0:01:40	5
11	1899/12/30 0:01:50	2	1899/12/30 0:01:50	3	1899/12/30 0:01:50	5
12	1899/12/30 0:02:00	3	1899/12/30 0:02:00	3	1899/12/30 0:02:00	6
13	1899/12/30 0:02:10	0	1899/12/30 0:02:10	1	1899/12/30 0:02:10	1
14	1899/12/30 0:02:20	0	1899/12/30 0:02:20	0	1899/12/30 0:02:20	0
15	1899/12/30 0:02:30	3	1899/12/30 0:02:30	0	1899/12/30 0:02:30	3
16	1899/12/30 0:02:40	1	1899/12/30 0:02:40	2	1899/12/30 0:02:40	3
17	1899/12/30 0:02:50	2	1899/12/30 0:02:50	1	1899/12/30 0:02:50	3
18	1899/12/30 0:03:00	7	1899/12/30 0:03:00	3	1899/12/30 0:03:00	10
19	1899/12/30 0:03:10	1	1899/12/30 0:03:10	4	1899/12/30 0:03:10	5
20	1899/12/30 0:03:20	3	1899/12/30 0:03:20	1	1899/12/30 0:03:20	4
21	1899/12/30 0:03:30	3	1899/12/30 0:03:30	3	1899/12/30 0:03:30	6
22	1899/12/30 0:03:40	5	1899/12/30 0:03:40	4	1899/12/30 0:03:40	9
23	1899/12/30 0:03:50	0	1899/12/30 0:03:50	4	1899/12/30 0:03:50	4
24	1899/12/30 0:04:00	1	1899/12/30 0:04:00	0	1899/12/30 0:04:00	1
25	1899/12/30 0:04:10	7	1899/12/30 0:04:10	21	1899/12/30 0:04:10	28
