Index	X	Left to Right	X	Right to Left	X	Sum
0	1899/12/30	0	1899/12/30	0	1899/12/30	0
1	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0
2	1899/12/30 0:00:20	0	1899/12/30 0:00:20	0	1899/12/30 0:00:20	0
3	1899/12/30 0:00:30	0	1899/12/30 0:00:30	0	1899/12/30 0:00:30	0
4	1899/12/30 0:00:40	1	1899/12/30 0:00:40	0	1899/12/30 0:00:40	1
5	1899/12/30 0:00:50	0	1899/12/30 0:00:50	0	1899/12/30 0:00:50	0
6	1899/12/30 0:01:00	0	1899/12/30 0:01:00	0	1899/12/30 0:01:00	0
7	1899/12/30 0:01:10	1	1899/12/30 0:01:10	0	1899/12/30 0:01:10	1
8	1899/12/30 0:01:20	0	1899/12/30 0:01:20	0	1899/12/30 0:01:20	0
9	1899/12/30 0:01:30	0	1899/12/30 0:01:30	0	1899/12/30 0:01:30	0
10	1899/12/30 0:01:40	1	1899/12/30 0:01:40	0	1899/12/30 0:01:40	1
11	1899/12/30 0:01:50	3	1899/12/30 0:01:50	0	1899/12/30 0:01:50	3
12	1899/12/30 0:02:00	1	1899/12/30 0:02:00	0	1899/12/30 0:02:00	1
13	1899/12/30 0:02:10	0	1899/12/30 0:02:10	0	1899/12/30 0:02:10	0
14	1899/12/30 0:02:20	0	1899/12/30 0:02:20	0	1899/12/30 0:02:20	0
15	1899/12/30 0:02:30	3	1899/12/30 0:02:30	0	1899/12/30 0:02:30	3
16	1899/12/30 0:02:40	1	1899/12/30 0:02:40	0	1899/12/30 0:02:40	1
17	1899/12/30 0:02:50	0	1899/12/30 0:02:50	0	1899/12/30 0:02:50	0
18	1899/12/30 0:03:00	3	1899/12/30 0:03:00	0	1899/12/30 0:03:00	3
19	1899/12/30 0:03:10	0	1899/12/30 0:03:10	0	1899/12/30 0:03:10	0
20	1899/12/30 0:03:20	2	1899/12/30 0:03:20	0	1899/12/30 0:03:20	2
21	1899/12/30 0:03:30	1	1899/12/30 0:03:30	0	1899/12/30 0:03:30	1
22	1899/12/30 0:03:40	3	1899/12/30 0:03:40	0	1899/12/30 0:03:40	3
23	1899/12/30 0:03:50	0	1899/12/30 0:03:50	0	1899/12/30 0:03:50	0
24	1899/12/30 0:04:00	3	1899/12/30 0:04:00	0	1899/12/30 0:04:00	3
25	1899/12/30 0:04:10	0	1899/12/30 0:04:10	0	1899/12/30 0:04:10	0
